class,support,tp,fp,fn,precision,recall,f1
Ohio Supreme Court,509,478,24,31,0.952191235059761,0.93909626719057,0.945598417408506
Oklahoma Attorney General Reports,245,239,1,6,0.995833333333333,0.975510204081633,0.985567010309278
Oregon Supreme Court,185,176,1,9,0.994350282485876,0.951351351351351,0.972375690607735
Oregon Tax Court,10,10,0,0,1,1,1
South Dakota Supreme Court,50,33,5,17,0.868421052631579,0.66,0.75
Superior Court of Delaware,20,6,0,14,1,0.3,0.461538461538462
Superior Court of North Carolina,53,39,15,14,0.722222222222222,0.735849056603774,0.728971962616822
Superior Court of Pennsylvania,1323,1308,104,15,0.926345609065156,0.988662131519274,0.956489945155393
Superior Court of Rhode Island,13,0,0,13,0,0,0
Supreme Court of Alabama,454,391,62,63,0.863134657836645,0.861233480176212,0.862183020948181
Supreme Court of Arkansas,11,4,2,7,0.666666666666667,0.363636363636364,0.470588235294118
Supreme Court of Colorado,11,6,0,5,1,0.545454545454545,0.705882352941176
Supreme Court of Connecticut,18,18,0,0,1,1,1
Supreme Court of Delaware,191,149,10,42,0.937106918238994,0.780104712041885,0.851428571428572
Supreme Court of Florida,780,772,59,8,0.929001203369434,0.98974358974359,0.958410924891372
Supreme Court of Georgia,221,206,35,15,0.854771784232365,0.932126696832579,0.891774891774892
Supreme Court of Iowa,11,3,0,8,1,0.272727272727273,0.428571428571429
Supreme Court of Kansas,4,0,0,4,0,0,0
Supreme Court of Louisiana,304,283,12,21,0.959322033898305,0.930921052631579,0.944908180300501
Supreme Court of Minnesota,43,25,25,18,0.5,0.581395348837209,0.537634408602151
Supreme Court of Missouri,348,344,8,4,0.977272727272727,0.988505747126437,0.982857142857143
Supreme Court of New Hampshire,19,7,0,12,1,0.368421052631579,0.538461538461538
Supreme Court of New Jersey,79,65,1,14,0.984848484848485,0.822784810126582,0.896551724137931
Supreme Court of North Carolina,400,388,84,12,0.822033898305085,0.97,0.889908256880734
Supreme Court of Oklahoma,10,0,0,10,0,0,0
Supreme Court of Pennsylvania,125,103,7,22,0.936363636363636,0.824,0.876595744680851
Supreme Court of Puerto Rico,6,3,0,3,1,0.5,0.666666666666667
Supreme Court of Rhode Island,11,3,0,8,1,0.272727272727273,0.428571428571429
Supreme Court of South Carolina,27,18,0,9,1,0.666666666666667,0.8
Supreme Court of the United States,7112,7083,119,29,0.983476811996668,0.995922384701912,0.989660472264915
Supreme Court of Vermont,64,55,1,9,0.982142857142857,0.859375,0.916666666666666
Supreme Court of Virginia,7,4,2,3,0.666666666666667,0.571428571428571,0.615384615384615
Tennessee Superior Court for Law and Equity,17,2,0,15,1,0.117647058823529,0.210526315789474
Tennessee Supreme Court,6,0,0,6,0,0,0
Texas Attorney General Reports,55,51,2,4,0.962264150943396,0.927272727272727,0.944444444444444
"Texas Court of Appeals, 10th District (Waco)",4,0,0,4,0,0,0
"Texas Court of Appeals, 11th District (Eastland)",28,27,1,1,0.964285714285714,0.964285714285714,0.964285714285714
"Texas Court of Appeals, 12th District (Tyler)",102,102,0,0,1,1,1
"Texas Court of Appeals, 13th District",52,52,0,0,1,1,1
"Texas Court of Appeals, 2nd District (Fort Worth)",356,355,2,1,0.994397759103641,0.997191011235955,0.995792426367461
"Texas Court of Appeals, 3rd District (Austin)",99,98,0,1,1,0.98989898989899,0.99492385786802
"Texas Court of Appeals, 4th District (San Antonio)",52,52,0,0,1,1,1
"Texas Court of Appeals, 6th District (Texarkana)",13,11,0,2,1,0.846153846153846,0.916666666666667
"Texas Court of Appeals, 7th District (Amarillo)",292,291,10,1,0.966777408637874,0.996575342465753,0.981450252951096
"Texas Court of Appeals, 8th District (El Paso)",20,18,0,2,1,0.9,0.947368421052632
"Texas Court of Appeals, 9th District (Beaumont)",202,201,0,1,1,0.995049504950495,0.997518610421836
Texas Supreme Court,17,5,0,12,1,0.294117647058824,0.454545454545455
U.S. Circuit Court for the District of District of Columbia,4,2,3,2,0.4,0.5,0.444444444444444
U.S. Circuit Court for the District of Massachusetts,3,1,0,2,1,0.333333333333333,0.5
United States Board of Tax Appeals,5,4,0,1,1,0.8,0.888888888888889
United States Court of International Trade,4,4,0,0,1,1,1
Utah Supreme Court,69,58,7,11,0.892307692307692,0.840579710144928,0.865671641791045
Washington Supreme Court,44,37,5,7,0.880952380952381,0.840909090909091,0.86046511627907
Wisconsin Supreme Court,181,173,5,8,0.971910112359551,0.955801104972376,0.963788300835655
